Delivery Date,Hour Ending,Repeated Hour Flag,Settlement Point,Settlement Point Price
02/02/2020,04:00,N,LZ_SOUTH,8.88
02/02/2020,04:00,N,LZ_WEST,21.74
02/02/2020,05:00,N,HB_BUSAVG,9.51
02/02/2020,05:00,N,HB_HOUSTON,9.55
02/02/2020,05:00,N,HB_HUBAVG,8.79
02/02/2020,05:00,N,HB_NORTH,10.27
02/02/2020,05:00,N,HB_PAN,3.41
02/02/2020,05:00,N,HB_SOUTH,9.73
02/02/2020,05:00,N,HB_WEST,5.60
02/02/2020,05:00,N,LZ_AEN,9.92
02/02/2020,05:00,N,LZ_CPS,10.38
02/02/2020,05:00,N,LZ_HOUSTON,9.52
02/02/2020,05:00,N,LZ_LCRA,9.71
02/02/2020,05:00,N,LZ_NORTH,10.19
02/02/2020,05:00,N,LZ_RAYBN,12.03
02/02/2020,05:00,N,LZ_SOUTH,10.24
02/02/2020,05:00,N,LZ_WEST,23.88
02/02/2020,06:00,N,HB_BUSAVG,10.07
02/02/2020,06:00,N,HB_HOUSTON,10.17
02/02/2020,06:00,N,HB_HUBAVG,9.55
02/02/2020,06:00,N,HB_NORTH,10.52
02/02/2020,06:00,N,HB_PAN,3.99
02/02/2020,06:00,N,HB_SOUTH,10.51
02/02/2020,06:00,N,HB_WEST,6.99
02/02/2020,06:00,N,LZ_AEN,11.42
02/02/2020,06:00,N,LZ_CPS,11.09
02/02/2020,06:00,N,LZ_HOUSTON,10.16
02/02/2020,06:00,N,LZ_LCRA,10.68
02/02/2020,06:00,N,LZ_NORTH,10.43
02/02/2020,06:00,N,LZ_RAYBN,11.77
02/02/2020,06:00,N,LZ_SOUTH,10.82
02/02/2020,06:00,N,LZ_WEST,27.85
02/02/2020,07:00,N,HB_BUSAVG,14.45
02/02/2020,07:00,N,HB_HOUSTON,14.60
02/02/2020,07:00,N,HB_HUBAVG,13.89
02/02/2020,07:00,N,HB_NORTH,15
02/02/2020,07:00,N,HB_PAN,10.01
02/02/2020,07:00,N,HB_SOUTH,14.68
02/02/2020,07:00,N,HB_WEST,11.28
02/02/2020,07:00,N,LZ_AEN,15.01
02/02/2020,07:00,N,LZ_CPS,15.33
02/02/2020,07:00,N,LZ_HOUSTON,14.62
02/02/2020,07:00,N,LZ_LCRA,14.69
02/02/2020,07:00,N,LZ_NORTH,15.14
02/02/2020,07:00,N,LZ_RAYBN,16.32
02/02/2020,07:00,N,LZ_SOUTH,15.28
02/02/2020,07:00,N,LZ_WEST,31.87
02/02/2020,08:00,N,HB_BUSAVG,17.42
02/02/2020,08:00,N,HB_HOUSTON,17.64
02/02/2020,08:00,N,HB_HUBAVG,17.07
02/02/2020,08:00,N,HB_NORTH,17.72
02/02/2020,08:00,N,HB_PAN,14.73
